X,Y,Class,Bin_Code
147.1646474,-41.43653243,Rubbish Bin,W
147.16775,-41.43746869,Rubbish Bin,W
147.167561,-41.43751851,Rubbish Bin,W
147.1614568,-41.46940387,Rubbish Bin,W
147.1673936,-41.48238539,Rubbish Bin,W
147.1603144,-41.46763133,Rubbish Bin,W
147.1153773,-41.38245964,Rubbish Bin,W
147.1915397,-41.46237045,Rubbish Bin,W
147.1906921,-41.46187457,Rubbish Bin,W
147.1373911,-41.45271824,Rubbish Bin,W
147.1492023,-41.40527076,Rubbish Bin,W
147.1496719,-41.40560549,Rubbish Bin,W
147.1501379,-41.40594766,Rubbish Bin,W
147.0729197,-41.33109966,Rubbish Bin,W
147.0038422,-41.31603954,Rubbish Bin,W
147.0817973,-41.33701437,Rubbish Bin,W
147.1218436,-41.44616645,Rubbish Bin,W
147.1217065,-41.44614897,Rubbish Bin,W
147.1213061,-41.44597066,Rubbish Bin,W
147.1211939,-41.44582455,Rubbish Bin,W
147.121007,-41.44587485,Rubbish Bin,W
147.1209145,-41.44629864,Rubbish Bin,W
147.1208183,-41.4462716,Rubbish Bin,W
147.1209654,-41.44618183,Rubbish Bin,W
147.1208616,-41.44647319,Rubbish Bin,W
147.1203879,-41.44624563,Rubbish Bin,W
147.1210584,-41.44643353,Rubbish Bin,W
147.1211814,-41.44624069,Rubbish Bin,W
147.1206816,-41.44570573,Rubbish Bin,W
147.1210524,-41.44587351,Rubbish Bin,W
147.1213594,-41.44616691,Rubbish Bin,W
147.1212159,-41.44570112,Rubbish Bin,W
147.1214456,-41.44557862,Rubbish Bin,W
147.1224586,-41.44587393,Rubbish Bin,W
147.1362603,-41.43630915,Rubbish Bin,W
147.1361907,-41.43606177,Rubbish Bin,W
147.1360267,-41.43596882,Rubbish Bin,W
147.1367329,-41.43612097,Rubbish Bin,W
147.1585235,-41.42513869,Rubbish Bin,W
147.1749879,-41.41832605,Rubbish Bin,W
147.1750718,-41.41846785,Rubbish Bin,W
147.175043,-41.41855198,Rubbish Bin,W
147.1748274,-41.41867561,Rubbish Bin,W
147.174945,-41.41881221,Rubbish Bin,W
147.17504,-41.41895974,Rubbish Bin,W
147.1751307,-41.41914386,Rubbish Bin,W
147.1745624,-41.41795807,Rubbish Bin,W
147.1749168,-41.41755259,Rubbish Bin,W
147.1758127,-41.4177373,Rubbish Bin,W
147.175946,-41.41756761,Rubbish Bin,W
147.1759631,-41.41795436,Rubbish Bin,W
147.1742948,-41.42539705,Rubbish Bin,W
147.1744411,-41.42578883,Rubbish Bin,W
147.1527081,-41.43361887,Rubbish Bin,W
147.1546364,-41.43470043,Rubbish Bin,W
147.1242172,-41.43817181,Rubbish Bin,W
147.1234922,-41.43857858,Rubbish Bin,W
147.1124366,-41.4325747,Rubbish Bin,W
147.1271834,-41.43726731,Rubbish Bin,W
147.1266251,-41.44008699,Rubbish Bin,W
147.12924,-41.44025648,Rubbish Bin,W
147.130994,-41.43928389,Rubbish Bin,W
147.1314303,-41.43974195,Rubbish Bin,W
147.1302994,-41.47280434,Rubbish Bin,W
147.1304884,-41.4729032,Rubbish Bin,W
147.1291887,-41.45071755,Rubbish Bin,W
147.1241078,-41.44442085,Rubbish Bin,W
147.1311924,-41.38670746,Rubbish Bin,W
147.130836,-41.38637181,Rubbish Bin,W
147.1289525,-41.38975465,Rubbish Bin,W
147.1299623,-41.38949447,Rubbish Bin,W
147.1300573,-41.38910009,Rubbish Bin,W
147.1196828,-41.39239225,Rubbish Bin,W
147.117112,-41.3905382,Rubbish Bin,W
147.173395,-41.45110788,Rubbish Bin,W
147.159857,-41.47075952,Rubbish Bin,W
147.1591654,-41.46906558,Rubbish Bin,W
147.1592854,-41.45098477,Rubbish Bin,W
147.1586435,-41.45107224,Rubbish Bin,W
147.158328,-41.45083197,Rubbish Bin,W
147.1575168,-41.45087253,Rubbish Bin,W
147.1583926,-41.44978245,Rubbish Bin,W
147.1389337,-41.44483124,Rubbish Bin,W
147.1778508,-41.46645851,Rubbish Bin,W
147.1794006,-41.46565062,Rubbish Bin,W
147.1594988,-41.43574801,Rubbish Bin,W
147.1486118,-41.43033818,Rubbish Bin,W
147.1694739,-41.4568157,Rubbish Bin,W
147.168219,-41.45641166,Rubbish Bin,W
147.1682136,-41.45640254,Rubbish Bin,W
147.1682944,-41.45625933,Rubbish Bin,W
147.1682961,-41.45625246,Rubbish Bin,W
147.1682629,-41.45612611,Rubbish Bin,W
147.1684525,-41.455251,Rubbish Bin,W
147.1676974,-41.45584265,Rubbish Bin,W
147.167532,-41.45639873,Rubbish Bin,W
147.1678407,-41.45686935,Rubbish Bin,W
147.1678783,-41.45700722,Rubbish Bin,W
147.1515848,-41.46525563,Rubbish Bin,W
147.1545907,-41.46464225,Rubbish Bin,W
147.1561598,-41.46403214,Rubbish Bin,W
147.1557818,-41.46342197,Rubbish Bin,W
147.1321347,-41.43705682,Rubbish Bin,W
147.1318363,-41.43687187,Rubbish Bin,W
147.132505,-41.43719614,Rubbish Bin,W
147.1320984,-41.43729832,Rubbish Bin,W
147.1330706,-41.43898724,Rubbish Bin,W
147.1325243,-41.43929936,Rubbish Bin,W
147.1321956,-41.43941167,Rubbish Bin,W
147.1321984,-41.43949377,Rubbish Bin,W
147.1322591,-41.43925301,Rubbish Bin,W
147.132153,-41.43914175,Rubbish Bin,W
147.1315596,-41.43883776,Rubbish Bin,W
147.1314655,-41.43872616,Rubbish Bin,W
147.1313342,-41.43851638,Rubbish Bin,W
147.1312303,-41.43818618,Rubbish Bin,W
147.1313456,-41.43801198,Rubbish Bin,W
147.1314414,-41.43804913,Rubbish Bin,W
147.1312186,-41.43781719,Rubbish Bin,W
147.1312536,-41.43790979,Rubbish Bin,W
147.1304263,-41.43616515,Rubbish Bin,W
147.1304071,-41.43469994,Rubbish Bin,W
147.1307351,-41.43491821,Rubbish Bin,W
